id	name	source	reference	confidence	roles
cpx00183	mscpx.183	ModelSEED	null	1.0	ftr05010;triggering;0;1
cpx00184	mscpx.184	ModelSEED	null	1.0	ftr08584;triggering;0;1
cpx00185	mscpx.185	ModelSEED	null	1.0	ftr04436;triggering;0;1
cpx00186	mscpx.186	ModelSEED	null	1.0	ftr09353;triggering;0;1
cpx00187	mscpx.187	ModelSEED	null	1.0	ftr03198;triggering;0;1
cpx00188	mscpx.188	ModelSEED	null	1.0	ftr07071;triggering;0;1
cpx00189	mscpx.189	ModelSEED	null	1.0	ftr02540;triggering;0;1|ftr02542;triggering;0;1|ftr02126;triggering;0;1
cpx00190	mscpx.190	ModelSEED	null	1.0	ftr05672;triggering;0;1
cpx00191	mscpx.191	ModelSEED	null	1.0	ftr02508;triggering;0;1
cpx00192	mscpx.192	ModelSEED	null	1.0	ftr09926;triggering;0;1
cpx00193	mscpx.193	ModelSEED	null	1.0	ftr01884;triggering;0;1
cpx00194	mscpx.194	ModelSEED	null	1.0	ftr07657;triggering;0;1
cpx00195	mscpx.195	ModelSEED	null	1.0	ftr07504;triggering;0;1
cpx00196	mscpx.196	ModelSEED	null	1.0	ftr09216;triggering;0;1
cpx00197	mscpx.197	ModelSEED	null	1.0	ftr06638;triggering;0;1
cpx00198	mscpx.198	ModelSEED	null	1.0	ftr04440;triggering;0;1
cpx00199	mscpx.199	ModelSEED	null	1.0	ftr04439;triggering;0;1
cpx00200	mscpx.200	ModelSEED	null	1.0	ftr04441;triggering;0;1
cpx00201	mscpx.201	ModelSEED	null	1.0	null
cpx00202	mscpx.202	ModelSEED	null	1.0	ftr04986;triggering;0;1
cpx00203	mscpx.203	ModelSEED	null	1.0	null
cpx00204	mscpx.204	ModelSEED	null	1.0	null
cpx00205	mscpx.205	ModelSEED	null	1.0	ftr03036;triggering;0;1
cpx00206	mscpx.206	ModelSEED	null	1.0	ftr03142;triggering;0;1
cpx00207	mscpx.207	ModelSEED	null	1.0	ftr05671;triggering;0;1
cpx00208	mscpx.208	ModelSEED	null	1.0	ftr03316;triggering;0;1
cpx00209	mscpx.209	ModelSEED	null	1.0	ftr08485;triggering;0;1
cpx00210	mscpx.210	ModelSEED	null	1.0	ftr01922;triggering;0;1
cpx00211	mscpx.211	ModelSEED	null	1.0	ftr01751;triggering;0;1
cpx00212	mscpx.212	ModelSEED	null	1.0	ftr01749;triggering;0;1
cpx00213	mscpx.213	ModelSEED	null	1.0	ftr01750;triggering;0;1
cpx00214	mscpx.214	ModelSEED	null	1.0	ftr00543;triggering;0;1
cpx00215	mscpx.215	ModelSEED	null	1.0	ftr00226;triggering;0;1
cpx00216	mscpx.216	ModelSEED	null	1.0	ftr07069;triggering;0;1
cpx00217	mscpx.217	ModelSEED	null	1.0	ftr06505;triggering;0;1
cpx00218	mscpx.218	ModelSEED	null	1.0	ftr02297;triggering;0;1
cpx00219	mscpx.219	ModelSEED	null	1.0	ftr02313;triggering;0;1
